"altTagText","corporateCode","get_directions_url","id","latitude","longitude","type","url"
"Rite Aid at 2480 Lapeer Road Auburn Hills, MI","04338","https://maps.google.com/maps?cid=816171369128455680",1252217,42.677763,-83.250397,"main",""
"Rite Aid at 3251 South Boulevard Auburn Hills, MI","04515","https://maps.google.com/maps?cid=9012935947599820839",1252727,42.621339,-83.224856,"main",""
"Rite Aid at 1434 West Michigan Avenue Battle Creek, MI","01474","https://maps.google.com/maps?cid=1627864060227037924",1251161,42.3446505462666,-85.2291736006737,"main",""
"Rite Aid at 30 East Columbia Ave Battle Creek, MI","04369","https://maps.google.com/maps?cid=17121469037041370249",1252513,42.2977309518143,-85.19615909457,"main",""
"Rite Aid at 3880 Wilder Road Bay City, MI","04357","https://maps.google.com/maps?cid=1052604609394986794",1253024,43.623218,-83.899921,"main",""
"Rite Aid at 500 Lafayette Avenue Bay City, MI","01740","https://maps.google.com/maps?cid=1990549102574569909",1253556,43.579052,-83.892916,"main",""
"Rite Aid at 901 West Midland Street Bay City, MI","01576","https://maps.google.com/maps?cid=18037506078758557743",1254707,43.601553,-83.91439,"main",""
"Rite Aid at 352 North Ross Street Beaverton, MI","02760","https://maps.google.com/maps?cid=8336548863951513932",1252866,43.8882261,-84.4910702,"main",""
"Rite Aid at 100 Covered Village Mall Belding, MI","01470","https://maps.google.com/maps?cid=2247866210652647667",1250322,43.0978111,-85.230184,"main",""
"Rite Aid at 51341 W Huron River Drive Belleville, MI","04332","https://maps.google.com/maps?cid=18420362574320808408",1253637,42.203255,-83.542272,"main",""
"Rite Aid at 2990 West 12 Mile Road Berkley, MI","04467","https://maps.google.com/maps?cid=3449686264873497921",1252504,42.5033553,-83.188871,"main",""
"Rite Aid at 612 Saint Joseph Avenue Berrien Springs, MI","03368","https://maps.google.com/maps?cid=4604697326078418262",1253975,41.9511724791986,-86.3440217153857,"main",""
"Rite Aid at 842 S State Street Big Rapids, MI","07810","https://maps.google.com/maps?cid=12326146650880727606",1254589,43.688397,-85.484668,"main",""
"Rite Aid at 3669 West Maple Bloomfield Hills, MI","04452","https://maps.google.com/maps?cid=5909586636790753810",1252937,42.544349,-83.2626773,"main",""
"Rite Aid at 42931 Woodward Avenue Bloomfield Hills, MI","04377","https://maps.google.com/maps?cid=4555609168440112420",1253273,42.6026348797338,-83.2642959134409,"main",""
"Rite Aid at 6155 Dixie Highway Bridgeport, MI","01551","https://maps.google.com/maps?cid=17828878478853175276",1253989,43.35975,-83.880962,"main",""
"Rite Aid at 3681 Shawnee Road Bridgman, MI","04238","https://maps.google.com/maps?cid=9353261777705135555",1252939,41.9433519,-86.5424611,"main",""
"Rite Aid at 715 East Front Street Buchanan, MI","04237","https://maps.google.com/maps?cid=5936508182253982668",1254276,41.827748,-86.351721,"main",""
"Rite Aid at 6026 Lapeer Road Burton, MI","04806","https://maps.google.com/maps?cid=13229407339227016169",1253934,43.010511,-83.594114,"main",""
"Rite Aid at G4033 Fenton Road Burton, MI","04340","https://maps.google.com/maps?cid=5945624477540382585",1254870,42.9732200095553,-83.6920787470172,"main",""
"Rite Aid at 720 South Mitchell Street Cadillac, MI","04506","https://maps.google.com/maps?cid=6497502347225613128",1254294,44.2447357,-85.39694,"main",""
"Rite Aid at 9377 Cherry Valley Road Caledonia, MI","01532","https://maps.google.com/maps?cid=3986940935801359281",1254782,42.7940002,-85.509104,"main",""
"Rite Aid at 4151 S Canton Center Road Canton, MI","07824","https://maps.google.com/maps?cid=5773780091927244271",1253204,42.275413,-83.484958,"main",""
"Rite Aid at 625 North State Street Caro, MI","04455","https://maps.google.com/maps?cid=11894491217342226644",1254017,43.493012,-83.391828,"main",""
"Rite Aid at 10767 E Carson City Road Carson City, MI","01528","https://maps.google.com/maps?cid=5837395965195392315",1250531,43.1775009,-84.8609221,"main",""
"Rite Aid at 305 East State Street Cassopolis, MI","03366","https://maps.google.com/maps?cid=3927052317160072668",1252587,41.911948,-86.009328,"main",""
"Rite Aid at 4166 17 Mile Road NE Cedar Springs, MI","01526","https://maps.google.com/maps?cid=1933034965993069306",1253212,43.219448,-85.567666,"main",""
"Rite Aid at 25425 Van Dyke Avenue Center Line, MI","04897","https://maps.google.com/maps?cid=10843241857566838906",1252272,42.4812801800532,-83.0283500330279,"main",""
"Rite Aid at 195 M-66 Highway Charlevoix, MI","01801","https://maps.google.com/maps?cid=11243098318406083514",1251707,45.3025333,-85.2580462,"main",""
"Rite Aid at 50290 Gratiot Avenue Chesterfield, MI","04361","https://maps.google.com/maps?cid=9292691191298762311",1253590,42.6689677,-82.8363832,"main",""
"Rite Aid at 5789 Ortonville Road Clarkston, MI","04592","https://maps.google.com/maps?cid=12871696027161326610",1253835,42.722098,-83.419817,"main",""
"Rite Aid at 1301 West 14 Mile Road Clawson, MI","04546","https://maps.google.com/maps?cid=934747655447247821",1250951,42.532471,-83.164508,"main",""
"Rite Aid at 35250 South Gratiot Avenue Clinton Township, MI","04318","https://maps.google.com/maps?cid=15281078563639280705",1252869,42.5557199718283,-82.898151576519,"main",""
"Rite Aid at 36485 Garfield Road Clinton Township, MI","04537","https://maps.google.com/maps?cid=16474595570179283666",1252927,42.5642013706342,-82.9514336585999,"main",""
"Rite Aid at 100 East Vienna Road Clio, MI","04333","https://maps.google.com/maps?cid=8368755825485155813",1250326,43.176887,-83.734033,"main",""
"Rite Aid at 6535 Paw Paw Avenue Coloma, MI","04239","https://maps.google.com/maps?cid=1461109202218221426",1254107,42.1938128,-86.3000193,"main",""
"Rite Aid at 3050 Union Lake Road Commerce Township, MI","04487","https://maps.google.com/maps?cid=15375967891812903149",1252593,42.5911452,-83.4475486,"main",""
"Rite Aid at 1151 West Randall Street Coopersville, MI","02729","https://maps.google.com/maps?cid=6572244462302317416",1250705,43.061094,-85.95566,"main",""
"Rite Aid at 521 North State Road Davison, MI","07738","https://maps.google.com/maps?cid=6769606089737180382",1253670,43.03421,-83.518721,"main",""
